     1→     1→[
   492→   492→    "whitespace-nowrap (2)": "Value",
   493→   493→    "px-4": "IPTV_URL",
   494→   494→    "px-4 (2)": "http://opplex.ch:8080",
   495→   495→    "px-4 (3)": "IPTV_USERNAME",
   496→   496→    "px-4 (4)": "pas22333",
   497→   497→    "px-4 (5)": "IPTV_PASSWORD",
   498→   498→    "px-4 (6)": "ps334455",
   499→   499→    "text-primary": "Home"
   500→   500→  },
   501→   501→  {
   502→   502→    "bg-muted": "Unable to connect to the IPTV service. Please check your credentials in the Secrets tab.\n\nthere are no channels in preview"
   503→   503→  },
   504→   504→  {
   505→   505→    "font-medium": "Thought",
   506→   506→    "whitespace-normal": "The issue is that the IPTV secrets haven't been added yet. I can see only the default system secrets are configured - the three IPTV credentials are missing.",
   507→   507→    "whitespace-normal (2)": "You need to add these secrets manually. Here's how:",
   508→   508→    "font-semibold": "You need to add these secrets manually.",
   509→   509→    "font-semibold (2)": "Advanced",
   510→   510→    "py-1": "In the left sidebar, scroll down and click Advanced",
   511→   511→    "py-1 (4)": "Click Secrets",
   512→   512→    "py-1 (7)": "Add these three entries one by one:",
   513→   513→    "whitespace-normal (3)": "The channels page will work immediately after saving those secrets - no code changes needed. The preview won't show channels until the backend can reach the IPTV server with valid credentials.",
   514→   514→    "mr-1": "Searched tools",
   515→   515→    "font-medium (2)": "Thought",
   516→   516→    "mr-1 (6)": "Listed environment variables",
   517→   517→    "font-semibold (3)": "Secrets",
   518→   518→    "whitespace-nowrap": "Key",
   519→   519→    "whitespace-nowrap (2)": "Value",
   520→   520→    "px-4": "IPTV_URL",
   521→   521→    "px-4 (2)": "http://opplex.ch:8080",
   522→   522→    "px-4 (3)": "IPTV_USERNAME",
   523→   523→    "px-4 (4)": "pas22333",
   524→   524→    "px-4 (5)": "IPTV_PASSWORD",
   525→   525→    "px-4 (6)": "ps334455"
   526→   526→  }
   527→   527→]
